company_name,visit_date,role,category,ctc,eligibility_10_12_ug,students_applied,students_selected
Azentio,23-04-2025,Software Engineer - Intern,Level 7 - Summer Internship,30000 per month,60%,1878,12
Bain Capability Network,27-11-2025,Intern Analyst,Level 3 - Super Dream (ILP),15.68 lpa,60%,5217,17
Bajaj Finserv Health Limited,14-10-2025,Flex-It-Out - 2025 |Hackathon,Level 3 - Super Dream (ILP),12.80 LPA,70%,3,3
Bank of America,12-11-2025,Apprentice -Software Engineer,Level 4 - Dream (Placement),6.45 lpa,60%,2115,92
Barclays,26-05-2025,Barclays Hack-O-Hire 2025,Level 3 - Super Dream (Placement),15 lpa,70%,3,3
Barclays,18-10-2024,Intern,Level 7 - Regular Internship,"75,000",60%,18,18
Baton Systems,29-11-2025,"Support – Engineer L1, DevSecOps – Engineer, Program Analyst, Software Development Engineer – Test, Full Stack Engineer, Technical Writer – Associate, UI/UX Designer – Associate",Level 4 - Dream (ILP),5 - 10 LPA,60%,1921,2
BITCS,24-12-2025,Software Developer Intern,Level 4 - Dream (ILP),8 LPA,60%,2573,1
Blinkit,20-01-2026,Associate Program Manager,Level 3 - Super Dream (ILP),17 lpa,60%,4610,4
BMW Techworks,30-10-2025,Software Engineer,Level 4 - Dream (ILP),7 lpa,70%,385,4
BNY Mellon,13-08-2024,Summer internship program,Level 2 - Marquee,"75,000",60%,2389,5
Boeing,20-08-2025,Mechanical & Structures Design and Analysis / Mechanical electrical / Structures & Payload Eng,Level 4 - Core (ILP),9.38 lpa,70%,83,16
Boeing,22-07-2025,Software Engineering (BISE),Level 4 - Dream (ILP),9.38 lpa,70%,2401,10
BOOKING HOLDINGS,22-07-2025,Intern,Level 2 - Marquee (ILP),20 LPA,60%,2454,7
Bosch Ltd.,09-06-2025,Intern,Level 4 - Core,12 lpa,60%,1,1
Botminds.ai,14-10-2025,AI Engineer,Level 4 - Dream (ILP),8-12 lpa,60%,3639,2
Brigade Group,25-09-2025,GET,Level 4 - Core (Placement),5 LPA,60%,129,4
Broadridge,25-08-2025,GET,Level 3 - Super Dream (ILP),10 lpa,70%,3470,4
Capgemini,14-09-2025,Analyst (Aerospace),Level 4 - Core (Placement),4.25 lpa,60%,17,4
Capgemini,14-09-2025,Analyst (Biomedical),Level 4 - Core (Placement),4.25 LPA,60%,117,15
Capgemini,29-09-2025,Software Engineer - ANALYST / SENIOR ANALYST,Level 5 - Day 1/ Day2 (Placement),4.25 - 7.5 lpa,60%,6188,255
CELEBAL Technologies,16-10-2025,Data Engineer,Level 4 - Dream (ILP),7-15 LPA,60%,3190,8
Centrico,20-08-2025,Intern,Level 4 - Dream (ILP),5 lpa,75%,1361,17
Citi Bank,19-09-2024,"EO&T - CISO, ICG TECH, PBWM TECH",Level 7 - Regular Internship,75000 per month,70%,19,11
Cleartax,18-12-2025,Corporate Partnership Manager,Level 4 - Dream (ILP),7.5 LPA,60%,2285,5
Cloudlex,08-10-2025,AI/ML Engineer,Level 4 - Dream (ILP),85%,85%,600,1
CME,12-08-2025,SDE intern,Level 3 - Super Dream (ILP),12 LPA,80%,1632,41
Coca-Cola India Private Limited,05-12-2025,IGNITE Trainee,Level 3 - Super Dream (Placement),12 LPA,60%,97,2
Codemate.ai,22-09-2025,Backend AI Engineer,Level 4 - Dream (Placement),8 LPA,60%,3152,1
Codity.ai,10-01-2026,Business Operations Intern,Level 6 - IT / Non- Engineering (ILP),8 LPA,60%,1728,11
Cognizant,21-09-2025,GenC Next/GenC Pro/GenC,Level 5 - Day 1/ Day2 (Placement),4 - 6.75 LPA,60%,6676,381
Commonwealth Bank of Australia,13-09-2025,Data Engineer,Level 3 - Super Dream (Placement),12.54 lpa,80%,1166,15
Computacenter India Private Limited,15-10-2025,Graduate Engineer (Automation AI),Level 4 - Dream (ILP),5 lpa,70%,190,6
Cyware Labs,06-07-2025,SDET-Intern,Level 3 - Super Dream (ILP),12 lpa,80%,607,1
Dayananda Sagar University,12-12-2025,Assistant/Associate Professor,Level 4 - Dream (Placement),9-9.4 LPA,60%,53,7
Deccan AI,13-10-2025,AI Training Consultant,Level 7 - Regular Internship,"50,000/- per month",60%,7072,33
Dell Technologies,06-10-2024,Intern - Software Engineering,Level 7 - Summer Internship,13.25 lpa,60%,330,11
Deloitte,26-08-2025,Analyst,Level 4 - Dream (Placement),7.6 lpa,60%,5214,161
Deloitte India,11-12-2025,Audit –Consultant,Level 4 - Dream (ILP),6.71 LPA,60%,2600,8
DEVREV-Prograd,13-08-2025,Software engineering Intern,Level 3 - Super Dream (ILP),12 lpa,80%,1252,4
Diageo India,27-11-2025,Graduate Engineering Trainee,Level 3 - Super Dream (Placement),14 lpa,60%,900,2
DOODLEBLUE INNOVATIONS,06-11-2025,Trainee,Level 6 - IT / Non- Engineering (ILP),3.5 LPA,60%,108,6
DTICI,29-09-2025,GET,Level 3 - Super Dream (Placement),10 LPA,60%,729,1
Ecolab Global Services Private Limited,05-09-2025,Intern,Level 4 - Dream (Placement),9.5 lpa,60%,2856,4
Electronic Arts (Ea),04-03-2026,SE Intern (Slingshot Studios / Quality verification),Level 2 - Marquee (ILP),20.88 lpa,75%,201,1
EPAM,23-07-2025,GET,Level 4 - Dream (ILP),8.48 LPA,60%,3596,10
EPAM,23-01-2026,Trainee + FTE,Level 4 - Dream (Placement),8.48 LPA,60%,1951,13
Errgo,26-06-2025,Intern,Level 7 - Regular Internship,"10,000 per month",60%,1091,4
Euler Motors Pvt. Ltd.,25-07-2025,"Fullstack Intern, MBD Intern 1, MBD Intern 2, Motor Design Intern, Electrical Engineer, Hardware Intern, Embedded Software Intern, Design Intern, Manufacturing Engineer Intern, Thermal Engineer Intern",Level 4 - Dream (ILP),6-8 LPA,60%,2738,17
Evernorth,05-12-2025,HIH Intern,Level 3 - Super Dream (ILP),18 lpa,60%,3672,14
Evobi Automations,10-09-2025,GET,Level 4 - Core (ILP),5-7 lpa,60%,4520,8
Exide Industries Limited,15-10-2025,GET,Level 4 - Core (Placement),8 LPA,80%,328,4
EY GDS,12-08-2025,Associate Consultant,Level 4 - Dream (Placement),5 lpa,60%,3288,63
EY - India,15-11-2025,Senior Analyst,Level 4 - Dream (ILP),6.40 LPA,65%,2824,15
Fidelity Investments,19-08-2024,SDE intern,Level 3 - Super Dream,"35,000",60%,236,12
Fisher & Paykel Healthcare,15-10-2025,Territory manager,Level 4 - Core (ILP),7 LPA,70%,284,8
FLAM,04-08-2025,ios Developer,Level 3 - Super Dream (ILP),10-12 lpa,60%,2067,1
Fractal Analytics,24-06-2025,Engineer Intern,Level 3 - Super Dream (ILP),10-12 lpa,60%,76,2
Fractal Analytics,11-08-2025,Imagineer,Level 3 - Super Dream (Placement),10.25 lpa,70%,3116,15
Genpact,16-10-2025,Intern,Level 7 - Regular Internship,25000/- per month,60%,2825,23
Genpact,22-10-2025,Management Trainee / Business Analyst,Level 3 - Super Dream (Placement),10 lpa,60%,3725,18
Genworx.Ai Technology Solutions Private Limited,12-07-2025,Software Developer Engineer,Level 3 - Super Dream (ILP),18-22 lpa,90%,281,2
GE Vernova,13-10-2025,GET,Level 4 - Core (Placement),5 LPA,70%,39,1
Gigamon Solutions,16-10-2025,Intern,Level 4 - Dream (ILP),9.77 lpa,75%,2216,1
GlowLogics,05-02-2026,Inside Sales Representative,Level 6 - IT / Non- Engineering (ILP),6.2 lpa,60%,1387,141
Google,16-04-2025,SDE intern,Level 7 - Regular Internship,135000 - 165000 per month,-,1,1
Guidehouse,12-12-2025,Associate Engineer,Level 4 - Dream (Placement),5.5 LPA,70%,1420,16
Guidewire Software,08-02-2025,Consultant Developer Intern,Level 7 - Regular Internship,"70,000/- per month",80%,347,2
Hashedin By Deloitte,05-12-2025,Software Engineer-I / DevOps Engineer-I / SDET- I,Level 4 - Dream (ILP),8.1 lpa,70%,1780,6
Havells India ltd,04-12-2025,Engineer,Level 4 - Core (Placement),9 lpa,65%,108,6
HCL Technologies,08-12-2025,"HCLTech Ascend, HCLTech Momentum, HCLTech Polaris",Level 5 - Day 1/ Day2 (Placement),4.5 10 LPA,65%,4431,75
Hewlett Packard Enterprise India Pvt Ltd (HPE),08-10-2025,Dot Net Developer & Automation,Level 3 - Super Dream (ILP),17.5 LPA,80%,812,2
Hewlett Packard Enterprise India Pvt Ltd (HPE),08-10-2025,GET,Level 4 - Core (ILP),8 lpa,80%,204,1
Hexaware Technologies Limited,09-07-2025,GET / PGET,Level 6 - IT / Non- Engineering (ILP),4-6 lpa,75%,1042,16
Hexaware Technologies Limited,12-07-2025,GET / PGET ( Hexaware Hackathon Hiring ),Level 6 - IT / Non- Engineering (ILP),4 - 6 lpa,60%,1270,8
High Radius Technologies,19-08-2025,Intern,Level 7 - Regular Internship,22000 - 27000 per month,60%,2947,30
High Radius Technologies,30-11-2025,Intern - Consulting,Level 4 - Dream (ILP),8 lpa,60%,3230,104
HP Inc,14-11-2025,Data Engineer Intern,Level 4 - Dream (ILP),9 LPA,60%,1434,1
Hyperverge,15-07-2025,Deep Learning/Machine Learning Engineer Intern,Level 3 - Super Dream (ILP),12-18 lpa,60%,2995,1
IBM,10-09-2025,Associate System Engineer,Level 6 - IT / Non- Engineering (Placement),4.5 LPA,60%,3004,18
IBM,12-11-2024,Platform Engineer Intern and CSM Intern,Level 3 - Super Dream (ILP),11 lpa,80%,497,10
