company_name,visit_date,role,category,ctc,eligibility_10_12_ug,students_applied,students_selected
Barclays,04-08-2025,Intern,Level 7 - Regular Internship,75000 per month,75%,1993,23
Boeing,16-04-2026,Electrical design Engineer trainee / Electronics Hardware Intern / Systems Engineer / Numerical Control Programming Traniee / Structure and Payload Engineer,Level 4 - Core (ILP),10 lpa,70%,543,17
Boeing,16-04-2026,Software Trainee / PMO,Level 3 - Super Dream (ILP),10 LPA,70%,3167,15
Citi Bank,14-10-2025,Intern,Level 7 - Regular Internship,75000 per month,65%,3673,7
Coca-Cola India Private Limited,11-12-2025,IGNITE Trainee,Level 7 - Regular Internship,35000 per month,60%,17,2
Cummins,31-01-2026,Intern,Level 7 - Regular Internship,15000 - 30000 per month,60%,218,1
Dell Technologies,27-01-2026,Software Engineer Intern,Level 3 - Super Dream (ILP),14 - 16 lpa,70%,3219,3
Fidelity Investments,18-08-2025,Intern,Level 7 - Summer Internship,40000 per month,80%,914,9
High Radius Technologies,08-04-2026,Product Intern,Level 4 - Dream (ILP),27000 per month,80%,593,23
IBM,23-01-2026,Client Engineering,Level 7 - Regular Internship,30000 per month,70%,3,3
JP Morgan Chase & Co.,28-01-2026,CIB Research & Analytics - Banking / CIB Research & Analytics - Banking Fintech,Level 7 - Regular Internship,135000 per month,60%,3715,10
Microsoft,08-10-2025,Associate Consultant Intern,Level 7 - Regular Internship,40000 per month,60%,33,4
Microsoft,10-02-2026,Penetration testing Intern / Security Assurance Intern / Security Research Intern,Level 7 - Regular Internship,125000 per month,70%,2049,4
Oracle,04-10-2025,Project Intern,Level 2 - Marquee (ILP),21 lpa,60%,1835,3
Sprinklr,14-07-2025,Product Engineer Intern,Level 2 - Marquee (ILP),30 LPA,75%,1289,2
Visa,30-09-2025,Software Engineering Intern (Summer Internship),Level 7 - Regular Internship,90000 - 95000 per month,70%,3111,4
